rank,player,age,pos,g,gs,mp,per,ts_pct,three_par,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
1,Luka Doncic,26,PG,64,64,2289,28.0,0.616,0.476,0.443,2.2,22.6,12.7,40.5,2.2,1.4,12.8,38.0,6.8,2.8,9.6,0.201,7.9,1.2,9.1,6.5,AS
2,Jake LaRavia,24,PF,77,39,1920,12.0,0.573,0.462,0.287,7.0,11.2,9.2,9.3,2.4,1.7,12.4,14.4,1.7,1.9,3.6,0.090,-1.5,0.3,-1.2,0.4,
3,LeBron James,41,SF,56,56,1870,20.1,0.591,0.267,0.340,2.8,17.9,10.6,32.3,1.6,1.7,14.5,26.6,3.0,1.8,4.8,0.123,2.9,0.0,2.9,2.3,AS
4,Deandre Ayton,27,C,67,67,1830,18.1,0.678,0.000,0.229,11.5,23.3,17.6,4.6,1.1,3.2,11.8,16.5,3.6,2.0,5.7,0.148,0.0,-0.9,-0.8,0.5,
5,Rui Hachimura,27,PF,63,36,1773,11.1,0.613,0.450,0.111,2.5,10.5,6.6,3.9,0.9,1.0,6.3,14.9,1.7,1.0,2.7,0.073,-1.0,-1.5,-2.5,-0.2,
6,Austin Reaves,27,SG,51,45,1762,20.3,0.641,0.430,0.487,2.3,13.4,8.0,24.0,1.5,1.1,14.0,26.7,4.3,1.4,5.6,0.154,3.4,-0.8,2.6,2.1,
7,Marcus Smart,31,SG,60,53,1725,9.8,0.547,0.616,0.269,2.5,8.5,5.6,12.7,2.4,1.2,14.4,15.3,0.4,1.5,1.9,0.053,-2.8,0.5,-2.4,-0.2,
8,Jaxson Hayes,25,C,65,9,1179,18.2,0.754,0.012,0.563,9.9,16.5,13.3,6.8,1.2,4.1,8.2,12.7,3.6,1.2,4.8,0.197,0.7,0.4,1.1,0.9,
9,Jarred Vanderbilt,26,PF,60,3,1051,11.3,0.544,0.408,0.238,8.9,21.1,15.2,9.1,2.4,1.6,16.9,12.3,0.4,1.3,1.8,0.080,-2.4,0.8,-1.6,0.1,
10,Luke Kennard,29,SG,27,1,601,12.1,0.695,0.535,0.123,2.0,9.9,6.1,10.5,1.1,0.5,11.9,13.5,1.0,0.3,1.3,0.105,-0.3,-0.6,-0.9,0.2,
11,Gabe Vincent,29,PG,29,7,559,5.5,0.512,0.792,0.085,1.5,4.1,2.8,8.3,1.2,0.2,8.2,11.5,0.1,0.2,0.3,0.027,-4.0,-1.0,-4.9,-0.4,
12,Dalton Knecht,24,SF,50,1,515,9.2,0.547,0.583,0.114,3.1,12.2,7.7,4.6,0.9,1.8,9.8,17.3,-0.1,0.3,0.3,0.025,-2.7,-1.7,-4.4,-0.3,
13,Maxi Kleber,34,PF,38,1,403,8.7,0.530,0.365,0.381,9.3,12.4,10.9,7.1,1.9,2.3,16.0,9.5,0.2,0.4,0.6,0.073,-3.8,0.5,-3.3,-0.1,
14,Nick Smith Jr.,21,SG,25,1,318,9.2,0.530,0.519,0.083,0.8,6.4,3.7,12.6,1.4,0.6,12.1,21.5,-0.2,0.2,0.0,-0.005,-2.9,-2.3,-5.2,-0.3,
15,Bronny James,21,SG,37,1,292,8.3,0.494,0.460,0.080,1.7,5.1,3.4,18.5,2.3,1.3,17.4,16.3,-0.2,0.2,0.1,0.009,-3.5,-0.9,-4.4,-0.2,
16,Drew Timme,25,PF,23,0,187,13.7,0.666,0.373,0.137,5.8,11.6,8.8,12.7,1.3,0.0,11.5,14.3,0.4,0.1,0.5,0.119,0.0,-1.1,-1.1,0.0,
17,Adou Thiero,21,SF,21,0,108,9.2,0.532,0.045,0.545,7.8,13.7,10.9,7.1,2.3,1.7,15.5,13.0,0.0,0.1,0.1,0.065,-5.3,-0.1,-5.4,-0.1,
18,Kobe Bufkin,22,SG,13,1,94,4.7,0.393,0.537,0.195,1.3,9.7,5.6,7.1,1.0,3.0,8.2,22.5,-0.2,0.1,-0.2,-0.092,-7.7,-3.6,-11.4,-0.2,
19,Chris Manon,24,SG,6,0,25,9.3,0.347,1.000,1.000,4.8,22.8,14.1,4.6,5.8,7.4,25.8,6.8,0.0,0.1,0.0,0.083,-6.4,5.8,-0.6,0.0,
20,Christian Koloko,25,C,2,0,6,-0.3,,,,0.0,19.0,9.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024,-6.7,-1.7,-8.5,0.0,
