lineup,team,gp,min,pts,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,plus_minus
"L. James - L. Kennard - J. Vanderbilt - J. Hayes - B. James",LAL,1,13.9,35.0,13.0,25.0,52.0,3.0,8.0,37.5,6.0,7.0,85.7,5.0,13.0,18.0,6.0,5.0,2.0,3.0,1.0,4.0,7.0,12.0
"L. James - M. Smart - M. Kleber - G. Vincent - J. LaRavia",LAL,1,12.9,37.0,11.0,23.0,47.8,5.0,10.0,50.0,10.0,11.0,90.9,3.0,6.0,9.0,7.0,2.0,2.0,0.0,1.0,7.0,7.0,1.0
"L. James - M. Smart - D. Ayton - L. Doncic - J. LaRavia",LAL,18,12.5,30.7,11.9,22.7,52.7,2.6,7.9,32.2,4.3,5.1,84.6,2.5,8.8,11.3,7.9,3.8,1.8,1.3,0.4,3.8,4.1,-1.4
"L. James - M. Smart - D. Ayton - L. Doncic - A. Reaves",LAL,16,11.7,29.6,11.3,21.6,52.0,3.1,7.8,39.2,4.1,5.6,73.0,1.8,8.1,9.8,6.6,2.6,2.7,1.0,0.8,3.9,5.4,2.8
"D. Ayton - R. Hachimura - A. Reaves - J. LaRavia - D. Knecht",LAL,2,10.1,20.5,7.5,15.5,48.4,1.0,4.5,22.2,4.5,6.0,75.0,1.0,4.5,5.5,5.0,3.5,1.0,1.5,1.5,2.5,5.5,-4.0
"L. James - M. Kleber - J. Vanderbilt - J. LaRavia - N. Smith Jr.",LAL,1,10.1,29.0,11.0,17.0,64.7,4.0,7.0,57.1,3.0,3.0,100.0,2.0,4.0,6.0,7.0,5.0,2.0,0.0,1.0,4.0,5.0,5.0
"L. James - M. Kleber - J. Vanderbilt - R. Hachimura - A. Reaves",LAL,1,9.7,21.0,8.0,17.0,47.1,2.0,7.0,28.6,3.0,3.0,100.0,3.0,9.0,12.0,5.0,6.0,2.0,1.0,0.0,0.0,3.0,9.0
"L. James - M. Smart - D. Ayton - J. LaRavia - N. Smith Jr.",LAL,1,9.7,27.0,10.0,15.0,66.7,4.0,6.0,66.7,3.0,5.0,60.0,1.0,6.0,7.0,7.0,3.0,2.0,0.0,1.0,7.0,4.0,-2.0
"M. Smart - D. Ayton - R. Hachimura - G. Vincent - A. Reaves",LAL,1,9.7,31.0,8.0,13.0,61.5,0.0,3.0,0.0,15.0,16.0,93.8,0.0,9.0,9.0,6.0,2.0,3.0,0.0,0.0,0.0,7.0,12.0
"J. Vanderbilt - D. Ayton - R. Hachimura - A. Reaves - J. LaRavia",LAL,3,9.3,21.7,8.7,17.0,51.0,2.3,5.3,43.8,2.0,2.7,75.0,3.0,7.3,10.3,6.3,5.0,1.0,0.0,1.0,3.0,2.7,-2.7
